timestamp,flow_key,pkt_count,byte_count,duration_s,avg_pkt_size,avg_iat_ms,max_iat_ms
1776232265.0698223,"('104.16.115.50', '172.20.211.225', 443, 50041, 6)",2,126,0.0,63.0,0.0,0.0
1776232270.079646,"('104.16.115.50', '172.20.211.225', 443, 50041, 6)",13,10932,2.2772,840.92,189.77,2226.29
1776232270.079646,"('172.20.211.225', '104.16.115.50', 50041, 443, 6)",10,1416,2.2772,141.6,253.03,2225.76
1776232270.079646,"('172.20.211.225', '128.192.0.0', 59031, 53, 17)",1,93,0.0,93.0,0.0,0
1776232270.079646,"('172.20.211.225', '128.192.0.0', 58550, 53, 17)",1,93,0.0,93.0,0.0,0
1776232270.079646,"('172.20.211.225', '104.208.16.88', 63658, 443, 6)",5,5638,0.1016,1127.6,25.39,51.01
1776232270.079646,"('128.192.0.0', '172.20.211.225', 53, 59031, 17)",1,277,0.0,277.0,0.0,0
1776232270.079646,"('128.192.0.0', '172.20.211.225', 53, 58550, 17)",1,481,0.0,481.0,0.0,0
1776232270.079646,"('104.208.16.88', '172.20.211.225', 443, 63658, 6)",8,638,0.1513,79.75,21.61,100.74
1776232270.079646,"('172.20.211.225', '99.84.132.124', 58874, 443, 6)",6,328,4.0451,54.67,809.03,1059.17
1776232270.079646,"('99.84.132.124', '172.20.211.225', 443, 58874, 6)",5,324,3.9946,64.8,998.65,1016.67
1776232270.079646,"('172.20.211.225', '108.177.122.188', 62205, 5228, 6)",1,55,0.0,55.0,0.0,0
1776232270.079646,"('108.177.122.188', '172.20.211.225', 5228, 62205, 6)",1,66,0.0,66.0,0.0,0
1776232270.079646,"('172.20.211.225', '34.158.255.62', 51774, 4070, 6)",3,185,0.1009,61.67,50.46,50.48
1776232270.079646,"('34.158.255.62', '172.20.211.225', 4070, 51774, 6)",2,130,0.0504,65.0,50.45,50.45
1776232270.079646,"('172.20.211.225', '108.177.122.188', 53040, 5228, 6)",1,55,0.0,55.0,0.0,0
